"","breaks","counts","density","mids"
"1",-0.8,2,0.000115560177962674,-0.75
"2",-0.7,30,0.00173340266944011,-0.65
"3",-0.6,411,0.0237476165713295,-0.55
"4",-0.5,941,0.0543710637314382,-0.45
"5",-0.4,3445,0.199052406540706,-0.35
"6",-0.3,5791,0.334604495290922,-0.25
"7",-0.2,13283,0.7674929219391,-0.15
"8",-0.1,75399,4.35656092910383,-0.05
"9",0,26358,1.52296758537008,0.05
"10",0.1,17597,1.01675622580459,0.15
"11",0.2,8698,0.502571213959669,0.25
"12",0.3,6172,0.356618709192812,0.35
"13",0.4,4199,0.242618593632634,0.45
"14",0.5,4655,0.268966314208124,0.55
"15",0.6,3404,0.196683422892472,0.65
"16",0.7,2380,0.137516611775582,0.75
"17",0.8,305,0.0176229271393078,0.85
