"","breaks","counts","density","mids"
"1",-1,39,0.00225342347027214,-0.95
"2",-0.9,270,0.015600624024961,-0.85
"3",-0.8,753,0.0435084070029467,-0.75
"4",-0.7,1243,0.071820650603802,-0.65
"5",-0.6,2255,0.130294100652915,-0.55
"6",-0.5,4153,0.239960709539493,-0.45
"7",-0.4,7510,0.433928468249841,-0.35
"8",-0.3,12897,0.745189807592304,-0.25
"9",-0.2,20179,1.1659444155544,-0.15
"10",-0.1,64346,3.71791760559311,-0.05
"11",0,29133,1.68330733229329,0.0499999999999999
"12",0.0999999999999999,11542,0.666897787022592,0.15
"13",0.2,5560,0.321257294736234,0.25
"14",0.3,3658,0.211359565493731,0.35
"15",0.4,2911,0.168197839024672,0.45
"16",0.5,3564,0.205928237129485,0.55
"17",0.6,1777,0.102675218119836,0.65
"18",0.7,1215,0.0702028081123246,0.75
"19",0.8,65,0.0037557057837869,0.85
