"","breaks","counts","density","mids"
"1",-0.9,5,0.00061143381228982,-0.85
"2",-0.8,45,0.00550290431060837,-0.75
"3",-0.7,91,0.0111280953836747,-0.65
"4",-0.6,218,0.0266585142158361,-0.55
"5",-0.5,494,0.0604096606542342,-0.45
"6",-0.4,1114,0.136227453378172,-0.35
"7",-0.3,2557,0.312687251605014,-0.25
"8",-0.2,5688,0.695567104860899,-0.15
"9",-0.1,15911,1.94570467746866,-0.05
"10",0,38839,4.74949556710486,0.05
"11",0.1,10525,1.28706817487007,0.15
"12",0.2,3883,0.474839498624273,0.25
"13",0.3,1668,0.203974319779884,0.35
"14",0.4,553,0.067624579639254,0.45
"15",0.5,159,0.0194435952308163,0.55
"16",0.6,24,0.00293488229899113,0.65
"17",0.7,1,0.000122286762457964,0.75
