,Continent,Pred_Crop (kHa),Pred_Past (kHa),FAO_Crop (kHa),FAO_Past (kHa)
0,AFRICA,230906.72269478452,669590.4866154484,274962.77947999997,840147.46438
1,ASIA,514202.5603175799,648664.6979729098,586397.0479800001,1081409.5839999998
2,EUROPE,293059.26962228754,131523.57276355798,289164.0198400001,174011.48763999998
3,LATIN AMERICA,166142.16610274016,469145.1050915815,170832.408,535083.35174
4,NORTHERN AMERICA,212129.0667613994,277658.22824668157,197752.21999999997,265174.68476
5,OCEANIA,28475.405873499607,334836.30070205557,31950.600000000002,340640.0
