,Continent,Pred_Crop (kHa),Pred_Past (kHa),FAO_Crop (kHa),FAO_Past (kHa)
0,AFRICA,233480.3916006433,672591.1655611818,274962.7794800001,840147.46438
1,ASIA,523367.77534709254,659516.7115435277,586397.0479800001,1081409.5839999998
2,EUROPE,336163.9507606795,218385.1810233538,289164.01984,174011.48764000006
3,LATIN AMERICA,169691.1169171421,473901.4483424188,170832.40800000002,535083.35174
4,NORTHERN AMERICA,255540.3518554116,356962.6734382061,197752.21999999997,265174.68476
5,OCEANIA,28899.563690473915,337505.46281684015,31950.600000000002,340640.0
