"","breaks","counts","density","mids"
"1",-1,2,0.000244783061012178,-0.95
"2",-0.9,16,0.00195826448809742,-0.85
"3",-0.8,75,0.00917936478795667,-0.75
"4",-0.7,245,0.0299859249739918,-0.65
"5",-0.6,477,0.0583807600514045,-0.55
"6",-0.5,838,0.102564102564102,-0.45
"7",-0.4,1598,0.19558166574873,-0.35
"8",-0.3,2984,0.36521632703017,-0.25
"9",-0.2,6005,0.734961140689064,-0.15
"10",-0.1,17100,2.09289517165412,-0.05
"11",0,37008,4.52946576096934,0.05
"12",0.1,10187,1.24680252126553,0.15
"13",0.2,3468,0.424453827795117,0.25
"14",0.3,1320,0.161556820268037,0.35
"15",0.4,318,0.0389205067009363,0.45
"16",0.5,55,0.00673153417783489,0.55
"17",0.6,9,0.0011015237745548,0.65
