"","breaks","counts","density","mids"
"1",-1,59,0.00722622999007924,-0.95
"2",-0.9,61,0.00747118693889549,-0.85
"3",-0.8,124,0.0151873308266072,-0.75
"4",-0.7,224,0.0274351782674195,-0.65
"5",-0.6,468,0.0573199260230015,-0.55
"6",-0.5,754,0.0923487697037245,-0.45
"7",-0.4,1333,0.163263806386028,-0.35
"8",-0.3,2632,0.322363344642179,-0.25
"9",-0.2,5616,0.687839112276018,-0.15
"10",-0.1,13761,1.68542628633018,-0.05
"11",0,39526,4.84108417945546,0.05
"12",0.1,11453,1.40274596739623,0.15
"13",0.2,3554,0.435288498046469,0.25
"14",0.3,1304,0.159711930628192,0.35
"15",0.4,433,0.0530331794187172,0.45
"16",0.5,221,0.0270677428441951,0.55
"17",0.6,98,0.012002890491996,0.65
"18",0.7,26,0.0031844403346112,0.75
