"","breaks","counts","density","mids"
"1",-1,39,0.00326136040541219,-0.95
"2",-0.9,431,0.0360422137110937,-0.85
"3",-0.8,928,0.077603652723654,-0.75
"4",-0.7,1431,0.119666839490893,-0.65
"5",-0.6,2256,0.188657155759228,-0.55
"6",-0.5,2645,0.22118713518757,-0.45
"7",-0.4,3270,0.273452526299945,-0.35
"8",-0.3,4356,0.364268869896807,-0.25
"9",-0.2,7254,0.606613035406667,-0.15
"10",-0.1,25552,2.13677643792544,-0.05
"11",0,30577,2.55699018246893,0.05
"12",0.1,16346,1.3669281329966,0.15
"13",0.2,9106,0.761485842350856,0.25
"14",0.3,4762,0.398220467963406,0.35
"15",0.4,2906,0.243013162516098,0.45
"16",0.5,2242,0.187486410998311,0.55
"17",0.6,1641,0.137228010904651,0.65
"18",0.7,1486,0.124266193908782,0.75
"19",0.8,2073,0.173353849241524,0.85
"20",0.9,281,0.0234985198441237,0.95
