"","breaks","counts","density","mids"
"1",-0.6,13,0.0010871201351374,-0.55
"2",-0.5,112,0.00936595808733756,-0.45
"3",-0.4,435,0.0363767122142128,-0.35
"4",-0.3,1555,0.130036293087588,-0.25
"5",-0.2,3725,0.311501731029754,-0.15
"6",-0.1,20368,1.70326637788296,-0.05
"7",0,27173,2.2723319563145,0.05
"8",0.1,13097,1.09523172383804,0.15
"9",0.2,8317,0.695506012610594,0.25
"10",0.3,6906,0.577511665635296,0.35
"11",0.4,5978,0.499908012911642,0.45
"12",0.5,5611,0.469217775250455,0.55
"13",0.6,5902,0.493552541352378,0.65
"14",0.7,7049,0.589469987121807,0.75
"15",0.8,10038,0.83942399357763,0.85
"16",0.9,3303,0.276212138950678,0.95
