"","breaks","counts","density","mids"
"1",-1,3,0.000250873877339399,-0.95
"2",-0.9,231,0.0193172885551337,-0.85
"3",-0.8,739,0.0617985984512719,-0.75
"4",-0.7,1191,0.0995969293037414,-0.65
"5",-0.6,1783,0.149102707765383,-0.55
"6",-0.5,2418,0.202204345135555,-0.45
"7",-0.4,3032,0.253549865364353,-0.35
"8",-0.3,3966,0.331655265842685,-0.25
"9",-0.2,6824,0.570654446321353,-0.15
"10",-0.1,25048,2.09462962653242,-0.05
"11",0,29818,2.49351909150206,0.05
"12",0.1,15836,1.32427957384891,0.15
"13",0.2,10214,0.854141927714875,0.25
"14",0.3,5974,0.499573514408523,0.35
"15",0.4,3644,0.30472813634159,0.45
"16",0.5,2316,0.193674633306016,0.55
"17",0.6,1941,0.162315398638591,0.65
"18",0.7,1501,0.125520563295479,0.75
"19",0.8,1787,0.149437206268502,0.85
"20",0.9,1316,0.110050007526216,0.95
