,Continent,Pred_Crop (kHa),Pred_Past (kHa),FAO_Crop (kHa),FAO_Past (kHa)
0,AFRICA,250903.1018236223,745394.9560669205,271775.91647999996,821897.46438
1,ASIA,555316.5625786709,861807.5596770068,566887.7124602335,903859.1189940684
2,EUROPE,238055.4425345132,124061.56040866819,259329.31817885596,139709.78245331082
3,LATIN AMERICA,170519.85288144674,533050.364241052,170832.40800000005,535083.35174
4,NORTHERN AMERICA,159661.20693923303,245394.11063895357,159720.7438497301,245195.55865630126
5,OCEANIA,26244.08450563731,264465.9040257656,31950.6,340640.0
