,Continent,Pred_Crop (kHa),Pred_Past (kHa),FAO_Crop (kHa),FAO_Past (kHa)
0,AFRICA,253519.44105858335,724401.5978620902,248180.48770858243,672958.224785299
1,ASIA,530160.8265168839,870315.6828164423,546453.5738697198,628214.8388934301
2,EUROPE,322583.8171651591,316161.0693739553,302799.13031999976,141033.97559999998
3,LATIN AMERICA,170110.2708846139,514048.79414772574,171695.82978650008,479874.0944247999
4,NORTHERN AMERICA,261398.00822720386,427577.8769932853,199095.6232615169,284855.85080633365
5,OCEANIA,31339.632753313053,339716.3539322445,31670.773000000005,351005.32
