,Continent,Pred_Crop (kHa),Pred_Past (kHa),FAO_Crop (kHa),FAO_Past (kHa)
0,AFRICA,253519.4410585833,724401.5978620898,274962.77947999997,840147.4643800001
1,ASIA,530160.8265168839,870315.6828164428,586397.0479799999,1081409.584
2,EUROPE,322611.88863584347,316192.2031829783,289164.0198400001,174011.48764
3,LATIN AMERICA,170110.27088461397,514048.7941477256,170832.40799999997,535083.3517400001
4,NORTHERN AMERICA,261398.00822720389,427577.8769932855,197752.21999999997,265174.68476
5,OCEANIA,31342.18265956308,339717.1061882709,31950.600000000002,340640.0
