,Continent,Pred_Crop (kHa),Pred_Past (kHa),FAO_Crop (kHa),FAO_Past (kHa)
0,AFRICA,249869.12628962987,720690.3110139689,274962.77948,840147.4643799999
1,ASIA,519436.2261705084,857874.5249993335,586397.04798,1081409.584
2,EUROPE,276356.86704837077,159107.1983174437,289164.0198399999,174011.48763999998
3,LATIN AMERICA,166323.28166433924,508282.0001956637,170832.40799999997,535083.35174
4,NORTHERN AMERICA,210261.44452825902,264410.42733381246,197752.21999999997,265174.68476
5,OCEANIA,30794.608610917978,337462.37889904884,31950.600000000002,340640.0
