"","breaks","counts","density","mids"
"1",-1,55,0.00539797821179704,-0.95
"2",-0.9,389,0.0381784277161645,-0.85
"3",-0.8,1018,0.0999116694474432,-0.75
"4",-0.7,1261,0.123760918637747,-0.65
"5",-0.6,2272,0.222985572676416,-0.55
"6",-0.5,2411,0.236627735793503,-0.45
"7",-0.4,3288,0.322700952007066,-0.35
"8",-0.3,3829,0.37579742859947,-0.25
"9",-0.2,6333,0.62155265482383,-0.15
"10",-0.1,28212,2.76886838747669,-0.05
"11",0,6877,0.674943566591422,0.05
"12",0.1,6287,0.617037982137599,0.15
"13",0.2,4816,0.472666601236628,0.25
"14",0.3,3952,0.387869270782216,0.35
"15",0.4,3389,0.332613602905094,0.45
"16",0.5,2938,0.288350181568358,0.55
"17",0.6,3248,0.318775149671214,0.65
"18",0.7,4425,0.434291883403671,0.75
"19",0.8,8285,0.813131808813426,0.85
"20",0.9,8605,0.844538227500246,0.95
