"","breaks","counts","density","mids"
"1",-1,432,0.0423986652272058,-0.95
"2",-0.9,1305,0.128079301207184,-0.85
"3",-0.8,2022,0.198449308077338,-0.75
"4",-0.7,2246,0.220433801158112,-0.65
"5",-0.6,2995,0.293944449896948,-0.55
"6",-0.5,3273,0.321228776131121,-0.45
"7",-0.4,6386,0.626754342918834,-0.35
"8",-0.3,6356,0.623809991166945,-0.25
"9",-0.2,19851,1.94827755422515,-0.15
"10",-0.1,12528,1.22956129158897,-0.05
"11",0,7732,0.758857591520266,0.05
"12",0.1,4601,0.451565413681421,0.15
"13",0.2,4034,0.395917165570714,0.25
"14",0.3,3181,0.312199430758661,0.35
"15",0.4,3503,0.343802139562273,0.45
"16",0.5,4328,0.424771812739228,0.55
"17",0.6,5215,0.511826479536755,0.65
"18",0.7,3610,0.354303660810679,0.75
"19",0.8,7386,0.724899401315143,0.85
"20",0.9,906,0.0889194229070567,0.95
