"","breaks","counts","density","mids"
"1",-0.6,10,0.000981450583963098,-0.55
"2",-0.5,66,0.00647757385415644,-0.45
"3",-0.4,274,0.0268917460005889,-0.35
"4",-0.3,746,0.0732162135636471,-0.25
"5",-0.2,1777,0.174403768770242,-0.15
"6",-0.1,30367,2.98037098832074,-0.05
"7",0,6461,0.634115222298557,0.05
"8",0.1,4833,0.474335067229365,0.15
"9",0.2,4264,0.418490529001865,0.25
"10",0.3,3821,0.3750122681323,0.35
"11",0.4,3733,0.366375502993424,0.45
"12",0.5,3813,0.374227107665129,0.55
"13",0.6,4425,0.434291883403671,0.65
"14",0.7,6402,0.628324663853174,0.75
"15",0.8,10758,1.0558445382275,0.85
"16",0.9,20140,1.97664147610168,0.95
