"","breaks","counts","density","mids"
"1",-0.75,1,7.50519734916429e-05,-0.725
"2",-0.7,6,0.000450311840949858,-0.675
"3",-0.65,20,0.00150103946983286,-0.625
"4",-0.6,112,0.00840582103106402,-0.575
"5",-0.55,219,0.0164363821946698,-0.525
"6",-0.5,492,0.0369255709578883,-0.475
"7",-0.45,809,0.0607170465547392,-0.425
"8",-0.4,2033,0.15258066210851,-0.375
"9",-0.35,2125,0.159485443669741,-0.325
"10",-0.3,3032,0.227557583626662,-0.275
"11",-0.25,4138,0.310565066308419,-0.225
"12",-0.2,6091,0.457141570537597,-0.175
"13",-0.15,10741,0.806133247273738,-0.125
"14",-0.1,20934,1.57113801307405,-0.0750000000000001
"15",-0.05,160120,12.0173219954819,-0.025
"16",0,10624,0.797352166375216,0.025
"17",0.0499999999999999,7852,0.58930809585638,0.075
"18",0.1,5614,0.421341779182084,0.125
"19",0.15,5237,0.393047185175734,0.175
"20",0.2,11308,0.8486877162435,0.225
"21",0.25,3182,0.238815379650408,0.275
"22",0.3,2564,0.192433260032572,0.325
"23",0.35,1946,0.146051140414737,0.375
"24",0.4,1749,0.131265901636883,0.425
"25",0.45,1607,0.12060852140107,0.475
"26",0.5,2239,0.168041368647789,0.525
"27",0.55,1296,0.0972673576451692,0.575
"28",0.6,391,0.0293453216352323,0.625
