"","breaks","counts","density","mids"
"1",-1,132,0.00495344883875398,-0.95
"2",-0.9,422,0.0158360258329862,-0.85
"3",-0.8,1396,0.05238647408258,-0.75
"4",-0.7,2196,0.0824073761356345,-0.65
"5",-0.6,3530,0.132467230309103,-0.55
"6",-0.5,5700,0.213898927128013,-0.45
"7",-0.4,9131,0.34265107080805,-0.35
"8",-0.3,14501,0.544166375839178,-0.25
"9",-0.2,24063,0.902991207628311,-0.15
"10",-0.1,173022,6.49284564377948,-0.05
"11",0,14225,0.533809164630874,0.05
"12",0.1,6967,0.261444530754538,0.15
"13",0.2,5095,0.191195619950391,0.25
"14",0.3,3046,0.114304584567005,0.35
"15",0.4,1849,0.0693858098701222,0.45
"16",0.5,984,0.0369257095252569,0.55
"17",0.6,222,0.00833080031972261,0.65
