"","breaks","counts","density","mids"
"1",-1,3,0.000250716631705625,-0.95
"2",-0.9,7,0.000585005473979792,-0.85
"3",-0.8,66,0.00551576589752375,-0.75
"4",-0.7,253,0.0211437692738411,-0.65
"5",-0.6,639,0.0534026425532982,-0.55
"6",-0.5,1555,0.129954787434082,-0.45
"7",-0.4,2691,0.224892818639946,-0.35
"8",-0.3,4782,0.399642310938767,-0.25
"9",-0.2,8106,0.6774363388686,-0.15
"10",-0.1,25581,2.13786071855387,-0.05
"11",0,33205,2.77501525192843,0.05
"12",0.1,18201,1.52109780455803,0.15
"13",0.2,11274,0.942193101949741,0.25
"14",0.3,5410,0.45212565917581,0.35
"15",0.4,2836,0.237010789172385,0.45
"16",0.5,1963,0.164052249346047,0.55
"17",0.6,1783,0.14900925144371,0.65
"18",0.7,1060,0.0885865432026544,0.75
"19",0.8,231,0.0193051806413331,0.85
"20",0.9,11,0.00091929431625396,0.95
