"","breaks","counts","density","mids"
"1",-0.7,8,0.000785160467170478,-0.65
"2",-0.6,92,0.00902934537246049,-0.55
"3",-0.5,580,0.0569241338698597,-0.45
"4",-0.4,2166,0.212582196486407,-0.35
"5",-0.3,1893,0.185788595544214,-0.25
"6",-0.2,7067,0.69359112768672,-0.15
"7",-0.1,26123,2.5638433604868,-0.05
"8",0,5403,0.530277750515262,0.05
"9",0.1,4695,0.460791049170674,0.15
"10",0.2,4335,0.425458828148003,0.25
"11",0.3,4401,0.431936402002159,0.35
"12",0.4,5005,0.49121601727353,0.45
"13",0.5,7169,0.703601923643145,0.55
"14",0.6,6706,0.658160761605653,0.65
"15",0.7,5380,0.528020414172147,0.75
"16",0.8,13326,1.30788104818922,0.85
"17",0.9,7541,0.740111885366572,0.95
