"","breaks","counts","density","mids"
"1",-1,2,0.00019629011679262,-0.95
"2",-0.9,108,0.0105996663068015,-0.85
"3",-0.8,320,0.0314064186868191,-0.75
"4",-0.7,1232,0.120914711944254,-0.65
"5",-0.6,2132,0.209245264500932,-0.55
"6",-0.5,3401,0.333791343605849,-0.45
"7",-0.4,5499,0.539699676121307,-0.35
"8",-0.3,17581,1.72548827166552,-0.25
"9",-0.2,10306,1.01148297183237,-0.15
"10",-0.1,8937,0.87712238688782,-0.05
"11",0,8372,0.821670428893904,0.05
"12",0.1,6298,0.618117577779958,0.15
"13",0.2,5077,0.498282461478065,0.25
"14",0.3,5875,0.576602218078319,0.35
"15",0.4,5475,0.537344194719797,0.45
"16",0.5,6291,0.617430562371184,0.55
"17",0.6,5175,0.507900677200902,0.65
"18",0.7,7111,0.697909510256159,0.75
"19",0.8,2128,0.208852684267347,0.85
"20",0.9,570,0.0559426832858966,0.95
