"","breaks","counts","density","mids"
"1",-1,60,0.00538314537184077,-0.95
"2",-0.9,133,0.0119326389075804,-0.85
"3",-0.8,372,0.0333755013054127,-0.75
"4",-0.7,1633,0.1465112732036,-0.65
"5",-0.6,2037,0.182757785373994,-0.55
"6",-0.5,5425,0.486726060703936,-0.45
"7",-0.4,5214,0.467795332812963,-0.35
"8",-0.3,20670,1.85449358059914,-0.25
"9",-0.2,8792,0.788810235153734,-0.15
"10",-0.1,9968,0.894319884441812,-0.05
"11",0,8782,0.787913044258428,0.0499999999999999
"12",0.0999999999999999,6599,0.592056271812953,0.15
"13",0.2,8561,0.768085125472148,0.25
"14",0.3,6818,0.611704752420172,0.35
"15",0.4,7426,0.666253958854826,0.45
"16",0.5,5607,0.503054934998519,0.55
"17",0.6,9227,0.827838039099578,0.65
"18",0.7,3621,0.324872823190591,0.75
"19",0.8,514,0.0461156120187691,0.85
