"","breaks","counts","density","mids"
"1",-0.9,35,0.00337873712459817,-0.85
"2",-0.8,151,0.0145768373089807,-0.75
"3",-0.7,325,0.0313739875855545,-0.65
"4",-0.6,741,0.0715326916950642,-0.55
"5",-0.5,1468,0.141713888540289,-0.45
"6",-0.4,2182,0.210640125882092,-0.35
"7",-0.3,4291,0.414233171475736,-0.25
"8",-0.2,7331,0.707700624583691,-0.15
"9",-0.1,37175,3.58870150305534,-0.05
"10",0,21050,2.03206904207976,0.05
"11",0.1,10476,1.01130428906544,0.15
"12",0.2,7631,0.736661228508818,0.25
"13",0.3,4771,0.46057013775594,0.35
"14",0.4,2747,0.265182596607748,0.45
"15",0.5,1640,0.158317968124029,0.55
"16",0.6,986,0.0951838515672513,0.65
"17",0.7,526,0.0507775922153896,0.75
"18",0.8,63,0.00608172682427672,0.85
