"","breaks","counts","density","mids"
"1",-1,77,0.00288951182260649,-0.95
"2",-0.9,439,0.0164739700016136,-0.85
"3",-0.8,917,0.0344114589783136,-0.75
"4",-0.7,1634,0.0613176924433637,-0.65
"5",-0.6,2589,0.0971551442691974,-0.55
"6",-0.5,3710,0.13922193327104,-0.45
"7",-0.4,6002,0.225231817653041,-0.35
"8",-0.3,9700,0.364003437393285,-0.25
"9",-0.2,18017,0.676108240362352,-0.15
"10",-0.1,176747,6.63263046896402,-0.05
"11",0,16389,0.615015704684386,0.05
"12",0.1,8805,0.33041755322143,0.15
"13",0.2,6169,0.231498680956616,0.25
"14",0.3,4719,0.177085795985455,0.35
"15",0.4,5116,0.191983668629283,0.45
"16",0.5,4899,0.183840498947392,0.55
"17",0.6,552,0.0207144224166076,0.65
