"","breaks","counts","density","mids"
"1",-0.6,6,0.000579212078502544,-0.55
"2",-0.5,120,0.0115842415700509,-0.45
"3",-0.4,654,0.0631341165567772,-0.35
"4",-0.3,2299,0.221934761412891,-0.25
"5",-0.2,3696,0.356794640357567,-0.15
"6",-0.1,36821,3.55452799042369,-0.05
"7",0,17514,1.69072005714893,0.05
"8",0.1,10958,1.05783432603848,0.15
"9",0.2,8626,0.832713898193824,0.25
"10",0.3,6926,0.66860380928477,0.35
"11",0.4,5702,0.55044454527025,0.45
"12",0.5,4436,0.428230796706214,0.55
"13",0.6,3135,0.302638311017579,0.65
"14",0.7,1840,0.177625037407447,0.75
"15",0.8,804,0.0776144185193409,0.85
"16",0.9,52,0.00501983801368871,0.95
