"","breaks","counts","density","mids"
"1",-0.9,27,0.00302571860816944,-0.85
"2",-0.8,119,0.0133355746063764,-0.75
"3",-0.7,296,0.0331708410377094,-0.65
"4",-0.6,545,0.0610746904241609,-0.55
"5",-0.5,968,0.108477615285482,-0.45
"6",-0.4,1729,0.193758054574999,-0.35
"7",-0.3,3587,0.401972320277918,-0.25
"8",-0.2,7017,0.786350647167591,-0.15
"9",-0.1,34651,3.88311761080293,-0.05
"10",0,16053,1.79895780803497,0.0499999999999999
"11",0.0999999999999999,8315,0.931809267664033,0.15
"12",0.2,5701,0.638874880932369,0.25
"13",0.3,4041,0.452849218356027,0.35
"14",0.4,2729,0.305821706729422,0.45
"15",0.5,1713,0.191965036140528,0.55
"16",0.6,991,0.111055079285034,0.65
"17",0.7,503,0.0563680170336751,0.75
"18",0.8,244,0.0273435311256794,0.85
"19",0.9,6,0.000672381912926541,0.95
